"sample","function_type","function_id","function_label","count"
"B3","ec","ec:3.6.5.-","ec|ec:3.6.5.-",1
"B3","ec","ec:5.4.99.62","ec|ec:5.4.99.62",1
"B3","ec","ec:5.6.2.3","ec|ec:5.6.2.3",2
"B3","ec","ec:6.3.5.3","ec|ec:6.3.5.3",3
"B3","ec","ec:7.1.2.2","ec|ec:7.1.2.2",7
"B3","go","go:0000049","go|go:0000049",9
"B3","go","go:0000105","go|go:0000105",5
"B3","go","go:0000166","go|go:0000166",5
"B3","go","go:0000287","go|go:0000287",14
"B3","go","go:0000314","go|go:0000314",2
"B3","go","go:0000428","go|go:0000428",2
"B3","go","go:0000917","go|go:0000917",1
"B3","go","go:0000976","go|go:0000976",1
"B3","ko","ko:K00053","ko|ko:K00053",1
"B3","ko","ko:K01126","ko|ko:K01126",2
"B3","ko","ko:K01462","ko|ko:K01462",1
"B3","ko","ko:K02314","ko|ko:K02314",1
"B3","ko","ko:K02834","ko|ko:K02834",2
"B3","ko","ko:K02864","ko|ko:K02864",1
"B3","ko","ko:K02871","ko|ko:K02871",1
"B3","ko","ko:K02874","ko|ko:K02874",2
"B3","ko","ko:K02913","ko|ko:K02913",3
"B3","ko","ko:K02948","ko|ko:K02948",2
"B3","ko","ko:K02950","ko|ko:K02950",3
"B3","ko","ko:K02954","ko|ko:K02954",2
"B3","ko","ko:K02963","ko|ko:K02963",1
"B3","ko","ko:K02968","ko|ko:K02968",1
"B3","ko","ko:K02982","ko|ko:K02982",1
"B3","ko","ko:K02990","ko|ko:K02990",1
"B3","ko","ko:K02992","ko|ko:K02992",1
"B3","ko","ko:K03100","ko|ko:K03100",1
"B3","ko","ko:K03217","ko|ko:K03217",1
"B3","ko","ko:K03282","ko|ko:K03282",1
"B3","ko","ko:K03402","ko|ko:K03402",2
"B3","ko","ko:K03424","ko|ko:K03424",1
"B3","ko","ko:K03975","ko|ko:K03975",1
"B3","ko","ko:K06726","ko|ko:K06726",1
"B3","ko","ko:K06901","ko|ko:K06901",1
"B3","product","product:16S rRNA (guanine(527)-N(7))-methyltransferase RsmG","product|product:16S rRNA (guanine(527)-N(7))-methyltransferase RsmG",1
"B3","product","product:30S ribosomal protein S10","product|product:30S ribosomal protein S10",1
"B3","product","product:30S ribosomal protein S11","product|product:30S ribosomal protein S11",2
"B3","product","product:30S ribosomal protein S12","product|product:30S ribosomal protein S12",3
"B3","product","product:30S ribosomal protein S18","product|product:30S ribosomal protein S18",1
"B3","product","product:30S ribosomal protein S20","product|product:30S ribosomal protein S20",1
"B3","product","product:30S ribosomal protein S3","product|product:30S ribosomal protein S3",1
"B3","product","product:30S ribosomal protein S5","product|product:30S ribosomal protein S5",1
"B3","product","product:50S ribosomal protein L10","product|product:50S ribosomal protein L10",1
"B3","product","product:50S ribosomal protein L13","product|product:50S ribosomal protein L13",2
"B3","product","product:50S ribosomal protein L15","product|product:50S ribosomal protein L15",1
"B3","product","product:50S ribosomal protein L16","product|product:50S ribosomal protein L16",1
"B3","product","product:50S ribosomal protein L23","product|product:50S ribosomal protein L23",2
"B3","product","product:50S ribosomal protein L29","product|product:50S ribosomal protein L29",1
"B3","product","product:50S ribosomal protein L3","product|product:50S ribosomal protein L3",1
"B3","product","product:50S ribosomal protein L33","product|product:50S ribosomal protein L33",4
"B3","product","product:6-phosphofructokinase","product|product:6-phosphofructokinase",1
"B3","product","product:ABC transmembrane type-1 domain-containing protein","product|product:ABC transmembrane type-1 domain-containing protein",2
"B3","product","product:ABC transporter ATP-binding protein","product|product:ABC transporter ATP-binding protein",8
"B3","product","product:ABC transporter domain-containing protein","product|product:ABC transporter domain-containing protein",5
"B3","product","product:ABC transporter permease","product|product:ABC transporter permease",13
"B3","product","product:ABC transporter substrate-binding protein","product|product:ABC transporter substrate-binding protein",6
"B3","product","product:ATP-binding cassette domain-containing protein","product|product:ATP-binding cassette domain-containing protein",6
"B3","product","product:ATP-binding protein","product|product:ATP-binding protein",2
"B3","product","product:Acetyltransferase","product|product:Acetyltransferase",1
"B3","product","product:Alcohol dehydrogenase","product|product:Alcohol dehydrogenase",1
"B3","product","product:Asp23/Gls24 family envelope stress response protein","product|product:Asp23/Gls24 family envelope stress response protein",3
"B3","product","product:D-ribose pyranase","product|product:D-ribose pyranase",1
"B3","product","product:DNA-binding protein","product|product:DNA-binding protein",3
"B3","product","product:F0F1 ATP synthase subunit epsilon","product|product:F0F1 ATP synthase subunit epsilon",2
"B3","product","product:GNAT family N-acetyltransferase","product|product:GNAT family N-acetyltransferase",4
"B3","product","product:L-lactate permease","product|product:L-lactate permease",1
"B3","product","product:Lipoprotein","product|product:Lipoprotein",14
